date,setting,vel_scale,acc_scale,trial,plan_success,exec_success,planning_time_s,notes
2026-01-05,A,1.0,1.0,1,1,1,NA,ok
2026-01-05,A,1.0,1.0,2,1,1,NA,ok
2026-01-05,A,1.0,1.0,3,1,1,NA,ok
2026-01-05,A,1.0,1.0,4,1,1,NA,ok
2026-01-05,A,1.0,1.0,5,1,1,NA,ok
2026-01-05,A,1.0,1.0,6,1,1,NA,ok
2026-01-05,A,1.0,1.0,7,1,1,NA,ok
2026-01-05,A,1.0,1.0,9,1,1,NA,ok
2026-01-05,A,1.0,1.0,10,1,1,NA,ok
2026-01-05,A,1.0,1.0,8,0,0,NA,plan_failed
2026-01-05,B,0.2,0.2,1,1,1,NA,ok
2026-01-05,B,0.2,0.2,2,1,1,NA,ok
2026-01-05,B,0.2,0.2,3,1,1,NA,ok
2026-01-05,B,0.2,0.2,4,1,1,NA,ok
2026-01-05,B,0.2,0.2,5,1,1,NA,ok
2026-01-05,B,0.2,0.2,6,1,1,NA,ok
2026-01-05,B,0.2,0.2,7,1,1,NA,ok
2026-01-05,B,0.2,0.2,8,1,1,NA,ok
2026-01-05,B,0.2,0.2,9,1,1,NA,ok
2026-01-05,B,0.2,0.2,10,1,1,NA,ok
